TTCNum	ImageFN	Count	Area	Species	LifeHistory
TTC020569	05-03-2019_TTC020569_002.jpg	30	91.001	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	31	75.703	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	32	71.404	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	33	152.306	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	34	91.261	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	35	65.562	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	36	98.589	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	37	123.769	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	38	94.946	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	39	52.529	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	1	42.949	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	2	38.404	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	3	58.998	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	4	32.413	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	5	61.659	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	6	125.079	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	7	23.788	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	8	27.513	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	9	98.917	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	10	137.662	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	11	55.436	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	12	43.235	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	13	47.166	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	14	58.138	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	15	29.56	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	16	42.471	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	17	57.442	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	18	74.515	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	19	26.449	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	20	39.264	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	21	53.962	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	22	87.494	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	23	96.01	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	24	43.358	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	25	66.477	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	26	42.13	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	27	75.457	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	28	75.512	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	29	54.221	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	30	60.39	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	31	126.512	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	32	75.375	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	33	88.722	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	34	71.772	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_001.jpg	35	49.24	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	1	89.186	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	2	99.558	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	3	95.805	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	4	138.304	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	5	71.472	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	6	85.269	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	7	100.445	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	8	72.468	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	9	85.774	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	10	70.38	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	11	105.55	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	12	67.828	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	13	101.783	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	14	55.845	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	15	62.628	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	16	109.971	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	17	95.109	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	18	49.95	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	19	76.726	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	20	80.002	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	21	61.373	Ungnadia_speciosa	Tree
